status,strategy_id,policy_id,problem,instance,final_cost,gap,time,original_time,runtime_scale,runtime_scale_basis,source_tree,source_run,source_csv
ok,STAR,sil,tsp,wi29,32164,16.523566,0.001113,0.001187,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,dj38,6800,2.163462,0.000531,0.000566,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,eil51,502,17.840376,0.000746,0.000796,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,berlin52,8980,19.066561,0.000671,0.000716,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,st70,760,12.592593,0.001015,0.001083,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,eil76,627,16.542751,0.001112,0.001186,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,pr76,143096,32.301519,0.001140,0.001216,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,rat99,1437,18.662263,0.001388,0.001481,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,kroA100,26133,22.793910,0.001429,0.001525,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,kroB100,26023,17.533083,0.001397,0.001490,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,kroC100,23564,13.566919,0.001460,0.001558,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,kroD100,26390,23.931624,0.001406,0.001500,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,kroE100,24907,12.864782,0.001502,0.001602,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,rd100,9769,23.501896,0.033578,0.035824,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
ok,STAR,sil,tsp,eil101,737,17.170111,0.001582,0.001688,1.06688592297,local-divided-by-medium-main-tsp-ratio,local,20260504_234712,results/20260504_234712/results.csv
